experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	FGF12	1161	1	H04	CT45A1	100015459	3AT	2	0	207	151
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	FGF12	1161	1	A05	empty-AD	0	3AT	2	0	243	187
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	IFT27	7972	1	B05	HSPB11	5491	3AT	2	4	28	0
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	IFT27	7972	1	C05	empty-AD	0	3AT	2	0	1111	909
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NRAS	5462	1	D05	RIN1	7142	3AT	2	0	169	119
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NRAS	5462	1	E05	empty-AD	0	3AT	2	0	600	498
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CDC42	399	1	F05	CDC42EP1	6819	3AT	2	4	20860	18499
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CDC42	399	1	G05	empty-AD	0	3AT	2	0	183	129
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	SNAP25	2998	1	H05	STX11	9297	3AT	2	3	34355	29219
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	SNAP25	2998	1	A06	empty-AD	0	3AT	2	0	574	478
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CLDN19	9634	1	B06	MFF	956	3AT	2	3	15762	12971
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CLDN19	9634	1	C06	empty-AD	0	3AT	2	0	113	71
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	THAP1	1668	1	D06	RALY	71484	3AT	2	4	22015	19483
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	THAP1	1668	1	E06	ZNF408	252	3AT	2	3	15579	13826
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	THAP1	1668	1	F06	WDYHV1	4786	3AT	2	0	85	17
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	THAP1	1668	1	G06	ZNF385C	15010	3AT	2	0	386	322
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	THAP1	1668	1	H06	THAP1	1668	3AT	2	4	20426	18197
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	THAP1	1668	1	A07	empty-AD	0	3AT	2	0	250	187
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NEUROG3	54175	1	B07	TCF4	56644	3AT	2	4	22053	18474
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NEUROG3	54175	1	C07	TCF12	11648	3AT	2	4	22806	19346
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NEUROG3	54175	1	D07	empty-AD	0	3AT	2	0	239	168
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CSNK2B	71965	1	E07	TRIM54	55664	3AT	2	0	425	368
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	CSNK2B	71965	1	F07	empty-AD	0	3AT	2	0	457	355
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	HPRT1	7982	1	G07	HPRT1	7982	3AT	2	4	23409	20737
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	HPRT1	7982	1	H07	PRTFDC1	2860	3AT	2	4	24058	21289
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	HPRT1	7982	1	A08	empty-AD	0	3AT	2	0	384	308
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	LHFPL5	2012	1	B08	CCDC155	9267	3AT	2	3	16906	15020
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	LHFPL5	2012	1	C08	empty-AD	0	3AT	2	0	186	144
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PDE4D	9020	1	D08	COIL	6448	3AT	2	0	382	287
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	PDE4D	9020	1	E08	empty-AD	0	3AT	2	0	381	301
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	F08	KIFAP3	1586	3AT	2	4	22465	16790
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	G08	RAB3IP	10906	3AT	2	4	15291	12906
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	H08	CREBRF	11288	3AT	2	4	17491	14710
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	A09	PDE4DIP	14398	3AT	2	4	23285	19683
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	B09	MKRN1	100011492	3AT	2	4	17868	15097
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	C09	PLSCR3	6963	3AT	2	3	12838	10788
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	D09	ZBTB14	53025	3AT	2	4	18756	15892
HsVcPPIP02a1	J37X7P_1_sample_1	G_DB	E_AD	NAA10	3180	1	E09	ACOT12	71646	3AT	2	4	25128	21318
